,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,1
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,1
622,0
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,1
641,1
642,1
643,1
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,0
656,1
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,1
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,0
832,1
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,1
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,1
894,1
895,0
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,0
917,1
918,1
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,0
1091,1
1092,1
1093,1
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,1
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,0
1129,1
1130,1
1131,0
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,1
1152,1
1153,0
1154,1
1155,0
1156,0
1157,0
1158,1
1159,0
1160,1
1161,1
1162,1
1163,0
1164,0
1165,0
1166,1
1167,1
1168,1
1169,0
1170,1
1171,0
1172,0
1173,0
1174,0
1175,1
1176,1
1177,1
1178,1
1179,0
1180,0
1181,1
1182,0
1183,1
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,0
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,1
1243,0
1244,0
1245,0
1246,0
1247,1
1248,0
1249,0
1250,0
1251,0
1252,1
1253,1
1254,0
1255,1
1256,0
1257,0
1258,0
1259,1
1260,0
1261,0
1262,0
1263,1
1264,0
1265,1
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,0
1278,0
1279,1
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,0
1287,1
1288,0
1289,1
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,1
1298,0
1299,0
1300,1
1301,1
1302,0
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,1
1310,1
1311,1
1312,1
1313,0
1314,1
1315,0
1316,1
1317,0
1318,0
1319,0
1320,0
1321,0
1322,1
1323,1
1324,1
1325,0
1326,0
1327,0
1328,1
1329,1
1330,1
1331,1
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,1
1341,0
1342,0
1343,0
1344,0
1345,1
1346,0
1347,0
1348,1
1349,0
1350,1
1351,0
1352,1
1353,0
1354,0
1355,0
1356,1
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1363,1
1364,1
1365,1
1366,1
1367,0
1368,0
1369,1
1370,0
1371,1
1372,0
1373,0
1374,1
1375,1
1376,1
1377,0
1378,1
1379,0
1380,0
1381,0
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,1
1390,1
1391,0
1392,0
1393,0
1394,1
1395,1
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,1
1404,0
1405,1
1406,1
1407,0
1408,1
1409,0
1410,0
1411,0
1412,1
1413,0
1414,0
1415,1
1416,0
1417,1
1418,0
1419,0
1420,0
1421,1
1422,0
1423,0
1424,0
1425,0
1426,0
1427,1
1428,0
1429,0
1430,1
1431,1
1432,0
1433,1
1434,0
1435,1
1436,0
1437,0
1438,1
1439,0
1440,0
1441,0
1442,1
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,1
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,1
1462,1
1463,0
1464,1
1465,0
1466,0
1467,0
1468,0
1469,1
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,1
1478,0
1479,0
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,1
1497,0
1498,1
1499,0
1500,1
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,0
1517,0
1518,0
1519,0
1520,1
1521,0
1522,0
1523,0
1524,0
1525,1
1526,0
1527,0
1528,1
1529,0
1530,0
1531,0
1532,1
1533,1
1534,0
1535,0
1536,0
1537,0
1538,0
1539,1
1540,1
1541,1
1542,1
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,1
1554,1
1555,0
1556,1
1557,0
1558,0
1559,0
1560,0
1561,1
1562,1
1563,0
1564,0
1565,1
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,1
1574,0
1575,0
1576,0
1577,0
1578,1
1579,0
1580,1
1581,1
1582,0
1583,0
1584,0
1585,0
1586,1
1587,1
1588,1
1589,0
1590,1
1591,1
1592,1
1593,0
1594,0
1595,0
1596,0
1597,1
1598,1
1599,0
1600,0
1601,0
1602,0
1603,1
1604,0
1605,0
1606,1
1607,0
1608,0
1609,0
1610,0
1611,0
1612,1
1613,1
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1622,0
1623,0
1624,0
1625,0
1626,1
1627,0
1628,0
1629,0
1630,1
1631,1
1632,0
1633,0
1634,0
1635,0
1636,1
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,0
1655,1
1656,1
1657,1
1658,0
1659,1
1660,1
1661,0
1662,0
1663,1
1664,0
1665,1
1666,1
1667,1
1668,0
1669,0
1670,1
1671,0
1672,1
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,1
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,1
1694,0
1695,0
1696,0
1697,1
1698,0
1699,0
1700,0
1701,0
1702,1
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,1
1710,0
1711,1
1712,0
1713,0
1714,0
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,1
1730,0
1731,0
1732,0
1733,1
1734,0
1735,0
1736,0
1737,1
1738,1
1739,0
1740,0
1741,1
1742,1
1743,0
1744,1
1745,1
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,1
1755,0
1756,1
1757,0
1758,0
1759,0
1760,0
1761,1
1762,0
1763,1
1764,1
1765,1
1766,1
1767,0
1768,0
1769,1
1770,1
1771,0
1772,0
1773,0
1774,1
1775,0
1776,1
1777,0
1778,0
1779,0
1780,1
1781,0
1782,0
1783,1
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,1
1791,0
1792,0
1793,0
1794,0
1795,0
1796,1
1797,1
1798,0
1799,1
1800,1
1801,1
1802,0
1803,1
1804,1
1805,0
1806,1
1807,0
1808,0
1809,1
1810,0
1811,0
1812,0
1813,1
1814,0
1815,0
1816,1
1817,0
1818,1
1819,0
1820,1
1821,0
1822,0
1823,0
1824,0
1825,1
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,1
1833,1
1834,0
1835,0
1836,0
1837,0
1838,1
1839,0
1840,0
1841,1
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,1
1859,0
1860,0
1861,1
1862,0
1863,1
1864,1
1865,0
1866,0
1867,0
1868,0
1869,1
1870,0
1871,1
1872,1
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,0
1880,1
1881,1
1882,1
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,1
1892,0
1893,1
1894,0
1895,0
1896,0
1897,0
1898,1
1899,1
1900,0
1901,1
1902,0
1903,0
1904,0
1905,0
1906,1
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,1
1925,0
1926,1
1927,1
1928,0
1929,0
1930,0
1931,1
1932,0
1933,1
1934,1
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,1
1946,1
1947,1
1948,1
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,0
1962,0
1963,1
1964,1
1965,1
1966,0
1967,1
1968,0
1969,0
1970,0
1971,1
1972,0
1973,1
1974,0
1975,1
1976,1
1977,1
1978,1
1979,0
1980,0
1981,0
1982,0
1983,1
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,1
1994,1
1995,0
1996,0
1997,1
1998,0
1999,1
2000,0
2001,0
2002,0
2003,1
2004,1
2005,0
2006,1
2007,1
2008,0
2009,0
2010,0
2011,0
2012,1
2013,1
2014,1
2015,0
2016,0
2017,0
2018,1
2019,0
2020,1
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,1
2028,0
2029,1
2030,1
2031,0
2032,0
2033,0
2034,0
2035,0
2036,1
2037,0
2038,0
2039,1
2040,0
2041,0
2042,0
2043,0
2044,0
2045,1
2046,0
2047,1
2048,0
2049,1
2050,0
2051,0
2052,1
2053,0
2054,0
2055,0
2056,0
2057,0
2058,1
2059,1
2060,0
2061,1
2062,1
2063,1
2064,0
2065,1
2066,1
2067,0
2068,0
2069,1
2070,0
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,1
2084,0
2085,0
2086,0
2087,0
2088,1
2089,0
2090,0
2091,0
2092,0
2093,0
2094,1
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,1
2107,0
2108,0
2109,1
2110,0
2111,1
2112,1
2113,0
2114,1
2115,1
2116,0
2117,0
2118,0
2119,1
2120,0
2121,1
2122,0
2123,1
2124,0
2125,0
2126,1
2127,0
2128,0
2129,1
2130,1
2131,0
2132,0
2133,1
2134,0
2135,0
2136,0
2137,0
2138,1
2139,0
2140,0
2141,1
2142,0
2143,1
2144,0
2145,0
2146,1
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,1
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,1
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,1
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,1
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,1
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,1
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,1
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,1
2260,0
2261,1
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,1
2276,0
2277,1
2278,0
2279,0
2280,0
2281,0
2282,0
2283,1
2284,0
2285,0
2286,0
2287,0
2288,0
2289,1
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,1
2297,1
2298,1
2299,1
2300,0
2301,0
2302,0
2303,0
2304,1
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,1
2316,1
2317,0
2318,0
2319,0
2320,1
2321,0
2322,1
2323,0
2324,0
2325,0
2326,1
2327,0
2328,1
2329,0
2330,0
2331,0
2332,0
2333,0
2334,1
2335,1
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,1
2343,0
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,0
2351,0
2352,0
2353,1
2354,1
2355,0
2356,0
2357,0
2358,0
2359,0
2360,1
2361,0
2362,0
2363,0
2364,1
2365,0
2366,0
2367,1
2368,0
2369,0
2370,1
2371,0
2372,1
2373,1
2374,0
2375,0
2376,0
2377,0
2378,1
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,1
2386,0
2387,0
2388,0
2389,0
2390,0
2391,1
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,1
2399,1
2400,0
2401,0
2402,0
2403,0
2404,1
2405,1
2406,1
2407,0
2408,0
2409,1
2410,0
2411,0
2412,1
2413,0
2414,0
2415,0
2416,1
2417,1
2418,0
2419,0
2420,0
2421,1
2422,1
2423,0
2424,0
2425,0
2426,0
2427,0
2428,1
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,1
2436,1
2437,1
2438,1
2439,1
2440,0
2441,0
2442,1
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,1
2451,1
2452,0
2453,1
2454,0
2455,1
2456,1
2457,1
2458,1
2459,0
2460,0
2461,0
2462,0
2463,0
2464,1
2465,0
2466,0
2467,1
2468,1
2469,0
2470,1
2471,0
2472,0
2473,0
2474,0
2475,0
2476,1
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,1
2484,0
2485,1
2486,0
2487,1
2488,0
2489,1
2490,0
2491,1
2492,0
2493,0
2494,0
2495,0
2496,1
2497,0
2498,1
2499,1
2500,1
2501,0
2502,1
2503,0
2504,0
2505,1
2506,1
2507,0
2508,0
2509,0
2510,1
2511,1
2512,0
2513,1
2514,0
2515,0
2516,0
2517,0
2518,1
2519,1
2520,0
2521,1
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,1
2529,0
2530,0
2531,0
2532,0
2533,1
2534,1
2535,0
2536,0
2537,0
2538,1
2539,0
2540,0
2541,0
2542,0
2543,0
2544,1
2545,1
2546,1
2547,0
2548,0
2549,0
2550,1
2551,1
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,0
2562,0
2563,0
2564,0
2565,0
2566,0
2567,0
2568,1
2569,0
2570,0
2571,0
2572,0
2573,1
2574,0
2575,0
2576,0
2577,1
2578,0
2579,1
2580,1
2581,0
2582,1
2583,1
2584,0
2585,0
2586,1
2587,1
2588,0
2589,0
2590,0
2591,1
2592,0
2593,0
2594,1
2595,1
2596,0
2597,0
2598,0
2599,0
2600,1
2601,0
2602,1
2603,0
2604,0
2605,1
2606,0
2607,0
2608,0
2609,1
2610,0
2611,0
2612,1
2613,0
2614,0
2615,0
2616,1
2617,0
2618,0
2619,0
2620,0
2621,1
2622,0
2623,0
2624,1
2625,0
2626,1
2627,1
2628,1
2629,0
2630,1
2631,0
2632,0
2633,0
2634,0
2635,1
2636,0
2637,0
2638,0
2639,0
2640,1
2641,0
2642,0
2643,0
2644,0
2645,0
2646,1
2647,1
2648,0
2649,1
2650,0
2651,0
2652,0
2653,0
2654,0
2655,1
2656,1
2657,1
2658,1
2659,0
2660,0
2661,1
2662,1
2663,0
2664,1
2665,0
2666,1
2667,0
2668,1
2669,1
2670,1
2671,0
2672,0
2673,0
2674,1
2675,0
2676,0
2677,1
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,1
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,1
2695,0
2696,0
2697,1
2698,0
2699,0
2700,0
2701,1
2702,0
2703,0
2704,1
2705,1
2706,0
2707,1
2708,0
2709,1
2710,0
2711,1
2712,0
2713,1
2714,0
2715,0
2716,0
2717,0
2718,0
2719,1
2720,0
2721,1
2722,0
2723,0
2724,0
2725,0
2726,1
2727,1
2728,1
2729,0
2730,0
2731,0
2732,0
2733,1
2734,0
2735,0
2736,0
2737,0
2738,0
2739,0
2740,0
2741,0
2742,1
2743,0
2744,0
2745,1
2746,1
2747,0
2748,0
2749,0
2750,0
2751,1
2752,1
2753,1
2754,0
2755,1
2756,0
2757,0
2758,0
2759,1
2760,0
2761,0
2762,0
2763,0
2764,0
2765,1
2766,0
2767,0
2768,1
2769,0
2770,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,0
2777,0
2778,0
2779,1
2780,0
2781,0
2782,0
2783,1
2784,0
2785,0
2786,0
2787,0
2788,0
2789,0
2790,0
2791,1
2792,0
2793,1
2794,0
2795,1
2796,0
2797,0
2798,0
2799,0
2800,0
2801,0
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,0
2817,1
2818,0
2819,0
2820,0
2821,0
2822,0
2823,0
2824,0
2825,0
2826,1
2827,0
2828,0
2829,0
2830,1
2831,0
2832,1
2833,0
2834,1
2835,1
2836,0
2837,1
2838,1
2839,0
2840,0
2841,0
2842,0
2843,0
2844,0
2845,1
2846,0
2847,1
2848,0
2849,0
2850,0
2851,1
2852,0
2853,1
2854,0
2855,1
2856,1
2857,0
2858,1
2859,1
2860,1
2861,1
2862,0
2863,0
2864,1
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,1
2873,0
2874,0
2875,0
2876,0
2877,0
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2886,0
2887,0
2888,1
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,0
2898,0
2899,0
2900,1
2901,0
2902,1
2903,0
2904,0
2905,0
2906,1
2907,0
2908,0
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,0
2916,1
2917,0
2918,0
2919,1
2920,0
2921,0
2922,1
2923,1
2924,0
2925,0
2926,1
2927,0
2928,0
2929,0
2930,0
2931,1
2932,1
2933,1
2934,0
2935,1
2936,0
2937,0
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,0
2945,1
2946,0
2947,0
2948,0
2949,0
2950,1
2951,0
2952,0
2953,0
2954,0
2955,0
2956,0
2957,1
2958,0
2959,1
2960,0
2961,0
2962,0
2963,0
2964,0
2965,0
2966,0
2967,0
2968,0
2969,1
2970,0
2971,0
2972,0
2973,0
2974,0
2975,0
2976,0
2977,0
2978,0
2979,0
2980,0
2981,0
2982,0
2983,0
2984,0
2985,0
2986,0
2987,1
2988,0
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,0
2996,0
2997,0
